cylinders,year,co2,mpg
2,1984,523,17
2,1985,523,17
2,1986,494,18
2,1987,513,17
2,1988,513,17
2,1989,513,17
2,1990,513,17
2,1991,513,17
2,1992,508,18
2,1993,494,18
2,1994,494,18
2,1995,494,18
2,2004,494,18
2,2005,494,18
2,2006,481,18
2,2007,481,18
2,2008,481,18
2,2009,481,18
2,2010,481,18
2,2011,481,18
2,2014,40,39
2,2015,40,39
2,2016,37,39
2,2017,29,35
2,2018,29,35
2,2019,22,31
2,2020,22,31
2,2021,22,31
3,1985,230,39
3,1986,231,39
3,1987,245,37
3,1988,253,36
3,1989,251,36
3,1990,261,35
3,1991,262,35
3,1992,263,35
3,1993,260,35
3,1994,254,36
3,1995,241,37
3,1996,222,40
3,1997,222,40
3,1998,222,40
3,1999,240,37
3,2000,208,44
3,2001,182,49
3,2002,178,50
3,2003,178,50
3,2004,180,50
3,2005,180,50
3,2006,180,50
3,2008,247,36
3,2009,247,36
3,2010,247,36
3,2011,247,36
3,2012,247,36
3,2013,244,36
3,2014,245,34
3,2015,255,34
3,2016,275,31
3,2017,283,31
3,2018,292,30
3,2019,286,30
3,2020,259,30
3,2021,271,30
3,2022,282,31
3,2023,285,31
3,2024,295,30
3,2025,304,29
4,1984,398,23
4,1985,398,23
4,1986,401,23
4,1987,408,22
4,1988,405,23
4,1989,408,22
4,1990,411,22
4,1991,412,22
4,1992,408,22
4,1993,401,23
4,1994,399,23
4,1995,392,23
4,1996,387,24
4,1997,388,23
4,1998,390,23
4,1999,388,23
4,2000,390,23
4,2001,391,23
4,2002,389,23
4,2003,388,23
4,2004,387,24
4,2005,388,24
4,2006,393,23
4,2007,386,23
4,2008,376,24
4,2009,370,25
4,2010,360,25
4,2011,355,26
4,2012,346,26
4,2013,335,27
4,2014,328,28
4,2015,330,28
4,2016,328,28
4,2017,330,28
4,2018,327,28
4,2019,328,28
4,2020,326,28
4,2021,329,28
4,2022,328,28
4,2023,330,28
4,2024,331,28
4,2025,313,29
5,1984,487,19
5,1985,502,18
5,1986,474,19
5,1987,478,19
5,1988,478,19
5,1989,475,19
5,1990,479,19
5,1991,475,19
5,1992,456,20
5,1993,477,19
5,1994,470,19
5,1995,468,19
5,1996,439,20
5,1997,440,20
5,1998,453,20
5,1999,445,20
5,2000,442,20
5,2001,436,20
5,2002,431,21
5,2003,440,20
5,2004,457,20
5,2005,446,20
5,2006,448,20
5,2007,456,20
5,2008,442,21
5,2009,430,21
5,2010,426,21
5,2011,421,22
5,2012,418,22
5,2013,358,25
5,2014,353,25
5,2015,390,22
5,2016,388,22
5,2017,399,22
5,2018,397,22
5,2019,392,22
5,2020,390,23
5,2021,373,24
5,2022,380,23
5,2023,383,23
5,2024,388,23
6,1984,527,17
6,1985,521,18
6,1986,525,17
6,1987,530,17
6,1988,520,17
6,1989,530,17
6,1990,528,17
6,1991,528,17
6,1992,528,17
6,1993,519,17
